Data,Cotacao
01/01/2023,220.32
01/02/2023,231.58
01/03/2023,236.87
01/04/2023,234.13
01/05/2023,238.14
01/06/2023,256.28
01/07/2023,259.92
01/08/2023,256.78
01/09/2023,268.58
01/10/2023,276.64
01/11/2023,269.62
01/12/2023,271.77
01/01/2024,286.43
01/02/2024,276.57
01/03/2024,282.17
01/04/2024,275.69
01/05/2024,285.87
01/06/2024,280.60
01/07/2024,279.11
01/08/2024,282.91
01/09/2024,285.58
01/10/2024,276.28
01/11/2024,277.80
01/12/2024,272.87
01/01/2025,273.11
01/02/2025,269.14
01/03/2025,263.40
01/04/2025,269.76
01/05/2025,270.36
01/06/2025,272.38
01/07/2025,273.30
01/08/2025,265.31
01/09/2025,263.80
01/10/2025,281.86
01/11/2025,277.01
01/12/2025,273.61
01/01/2026,269.69
01/02/2026,277.79
01/03/2026,292.69
01/04/2026,286.97
01/05/2026,293.96
01/06/2026,290.04
01/07/2026,288.99
